name,star_name,star_age,star_age_error_min,star_age_error_max,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,detection_type,mass_measurement_type,radius_measurement_type,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max
Kepler-444 f,Kepler-444,11.23,-0.99,0.91,0.00104,,,0.066,-0.004,0.004,9.740486,-1.3e-05,1.3e-05,0.0811,-0.0015,0.0015,0.29,-0.19,0.2,87.96,-0.31,0.36,2015.0,,,,,,,2454967.8791,-0.0011,0.0011,0.79,-0.13,0.07,,,,673.0,,,Transit,M-R relationship,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>,289.7528323,41.631884,8.87,7.96,7.244,6.772,6.703,36.4396,-0.0394,0.0395,-0.55,-0.07,0.07,0.758,-0.043,0.043,0.752,-0.014,0.014,K,5046.0,-74.0,74.0
Kepler-445 b,Kepler-445,6.61,-4.43,5.5,0.00982,,,0.14,-0.02,0.02,2.984151,-1.1e-05,1.1e-05,0.0217,,,0.0,,,89.74,-0.28,0.18,2015.0,,,,,,,2454966.1194,-0.0033,0.0033,0.001,-0.001,0.203,,,,401.0,,,Transit,M-R relationship,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>,298.7363395,46.4991236,18.19,,13.542,12.929,12.61,127.201,-0.995,0.995,0.27,-0.13,0.13,0.18,-0.04,0.04,0.21,-0.03,0.03,M4,3157.0,-60.0,60.0
Kepler-445 c,Kepler-445,6.61,-4.43,5.5,0.0215,,,0.22,-0.03,0.03,4.871229,-1.1e-05,1.1e-05,0.0301,,,0.0,,,89.91,-0.1,0.07,2015.0,,,,,,,2454966.6408,-0.0019,0.0019,0.0,0.0,0.101,,,,341.0,,,Transit,M-R relationship,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>,298.7363395,46.4991236,18.19,,13.542,12.929,12.61,127.201,-0.995,0.995,0.27,-0.13,0.13,0.18,-0.04,0.04,0.21,-0.03,0.03,M4,3157.0,-60.0,60.0
Kepler-445 d,Kepler-445,6.61,-4.43,5.5,0.0066,,,0.11,-0.02,0.02,8.15275,-0.0004,0.0004,0.0439,,,0.0,,,89.61,-0.25,0.27,2015.0,,,,,,,2454836.7512226,-0.05,0.05,0.011,-0.01,0.47,,,,305.0,,,Transit,M-R relationship,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>,298.7363395,46.4991236,18.19,,13.542,12.929,12.61,127.201,-0.995,0.995,0.27,-0.13,0.13,0.18,-0.04,0.04,0.21,-0.03,0.03,M4,3157.0,-60.0,60.0
Kepler-446 b,Kepler-446,3.72,-2.19,6.22,0.00899,,,0.13,-0.02,0.02,1.565409,-3.3e-06,3.3e-06,0.0182,,,0.0,,,87.42,-0.37,0.62,2015.0,,,,,,,2454965.9135,-0.0019,0.0019,0.601,-0.088,0.096,7.0,-1.0,1.0,648.0,,,Transit,M-R relationship,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>,282.2501047,44.921002,17.5041,,13.591,13.075,12.827,96.339,-0.5087,0.5141,-0.3,-0.12,0.12,0.22,-0.05,0.05,0.24,-0.04,0.04,M4,3359.0,-60.0,60.0
Kepler-446 c,Kepler-446,3.72,-2.19,6.22,0.00444,,,0.1,-0.02,0.02,3.036179,-5.5e-06,5.5e-06,0.0283,,,0.0,,,88.97,-0.46,0.57,2015.0,,,,,,,2454967.069573,-0.000945,0.000945,0.025,-0.025,0.529,3.5,-1.5,1.5,520.0,,,Transit,M-R relationship,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>,282.2501047,44.921002,17.5041,,13.591,13.075,12.827,96.339,-0.5087,0.5141,-0.3,-0.12,0.12,0.22,-0.05,0.05,0.24,-0.04,0.04,M4,3359.0,-60.0,60.0
Kepler-446 d,Kepler-446,3.72,-2.19,6.22,0.00752,,,0.12,-0.02,0.02,5.148921,-2.2e-05,2.2e-05,0.0403,,,0.0,,,88.72,-0.19,0.17,2015.0,,,,,,,2454966.3196,-0.0042,0.0042,0.705,-0.066,0.057,4.0,-1.0,1.0,436.0,,,Transit,M-R relationship,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>,282.2501047,44.921002,17.5041,,13.591,13.075,12.827,96.339,-0.5087,0.5141,-0.3,-0.12,0.12,0.22,-0.05,0.05,0.24,-0.04,0.04,M4,3359.0,-60.0,60.0
Kepler-447 b,Kepler-447,1.62,-0.62,1.4,1.37,-0.46,0.48,1.65,-0.56,0.59,7.79430132,-1.82e-06,1.82e-06,0.0769,-0.0079,0.0062,0.123,-0.036,0.037,86.55,-0.32,0.24,2015.0,98.3,-11.0,1.1,,,,2454970.259778,,,1.076,-0.086,0.112,141.0,-42.0,42.0,882.0,,,Transit,Mass,<a refstr=LILLO_BOX_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.105L/abstract target=ref>Lillo-Box et al. 2015</a>,285.2685283,48.5598835,12.52,,11.211,10.879,10.806,268.041,-1.823,1.848,0.07,-0.05,0.05,1.0,-0.21,0.21,1.05,-0.19,0.19,G8 V,5493.0,-62.0,62.0
Kepler-448 c,KOI-12,1.45,-0.23,0.43,22.0,-5.0,7.0,1.07,,,2500.0,-700.0,2400.0,4.2,-0.9,2.4,0.65,-0.09,0.13,,,,2017.0,-89.0,-6.0,5.0,2455911.0,-11.0,10.0,,,,,,,,,,184.719862938663,-36.5902001293067,36.5902001293067,Transit Timing Variations,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,297.4537402,41.0110188,11.51,,10.461,10.287,10.234,399.398,-4.303,4.396,0.0814669,-0.0088569,0.0088569,1.5,-0.1,0.1,1.4,-0.06,0.07,,6635.0,-71.0,71.0
Kepler-449 b,Kepler-449,9.77,-1.3,1.4,0.0154,,,0.183424034258185,-0.00615576768668035,0.00615576768668035,12.58242,-0.00027,0.00027,0.1027,,,0.03,-0.03,0.28,89.83,,,2015.0,,,,,,,2455008.02384,-0.00139279,0.00139279,0.789,-0.1,0.1,,,,917.0,,,Transit,M-R relationship,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,293.732787,41.9006366,11.448,,10.088,9.770001,9.701,241.949,,,-0.16508,-0.0123613,0.0123613,1.02,-0.035,0.033,1.467,-0.033,0.033,,5649.18,-124.08,124.08
Kepler-449 c,Kepler-449,9.77,-1.3,1.4,0.0254,,,0.246587563564992,-0.00767240610223927,0.00767240610223927,33.6727,-0.001,0.001,0.1979,,,0.05,-0.05,0.24,89.41,,,2015.0,,,,,,,2454995.04046,-0.00145933,0.00145933,0.806,-0.1,0.1,,,,661.0,,,Transit,M-R relationship,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,293.732787,41.9006366,11.448,,10.088,9.770001,9.701,241.949,,,-0.16508,-0.0123613,0.0123613,1.02,-0.035,0.033,1.467,-0.033,0.033,,5649.18,-124.08,124.08
Kepler-45 b,Kepler-45,0.5,,,0.505,-0.09,0.09,0.96,-0.11,0.11,2.455239,-4e-06,4e-06,0.03,,,0.11,-0.09,0.1,87.0,-0.7,0.7,2011.0,230.0,-68.0,68.0,,,,2455003.82176,-2.102e-05,2.102e-05,0.6,-0.2,0.2,110.0,-10.0,10.0,1000.0,-20.0,20.0,Transit,Mass,<a refstr=JOHNSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....143..111J/abstract target=ref> Johnson et al. 2012 </a>,292.8729292,41.0641727,16.744,,13.749,13.077,12.892,381.949,-6.3825,6.3825,0.28,-0.14,0.14,0.59,-0.06,0.06,0.55,-0.11,0.11,M,3820.0,-90.0,90.0
Kepler-450 b,Kepler-450,2.57,-0.28,0.25,0.0610389201774534,-0.0213950854230249,0.0349243306169965,0.547774110090106,-0.0294406280667321,0.0294406280667321,28.454851,-2.5e-05,2.5e-05,0.20092,-0.00113,0.00113,0.02,-0.02,0.14,88.82,,,2015.0,,,,,,,2455009.70618,-0.00017807,0.00017807,0.0243,-0.0242,0.1575,,,,769.0,,,Transit,Mass,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,295.4865821,51.0135237,11.991,,10.708,10.472,10.429,455.982,-5.074,5.189,0.127796,-0.0136617,0.0136617,1.19,-0.142064,0.197747,1.64162,-0.106909,0.0801915,,6197.21,-187.388,130.152
Kepler-450 c,Kepler-450,2.57,-0.28,0.25,0.0393292011452663,-0.0081804738382154,0.0100682754931882,0.233740744044964,-0.01248996342225,0.01248996342225,15.413135,-8.5e-05,8.5e-05,0.13351,-0.00074,0.00074,0.02,-0.02,0.17,88.73,,,2015.0,,,,,,,2454969.94071,-0.00115692,0.00115692,0.315,-0.3149,0.0696,,,,944.0,,,Transit,Mass,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,295.4865821,51.0135237,11.991,,10.708,10.472,10.429,455.982,-5.074,5.189,0.127796,-0.0136617,0.0136617,1.19,-0.142064,0.197747,1.64162,-0.106909,0.0801915,,6197.21,-187.388,130.152
Kepler-450 d,Kepler-450,2.57,-0.28,0.25,0.055375515212535,-0.0210804518138628,0.0298901928704024,0.0746721384601659,-0.0060665536622357,0.0060665536622357,7.51464,-0.00023,0.00023,0.0827,-0.00047,0.00047,0.14,-0.14,0.24,87.91,,,2015.0,,,,,,,2454969.17528,-0.00077472,0.00077472,0.4,-0.23,0.23,,,,1199.0,,,Transit,Mass,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,295.4865821,51.0135237,11.991,,10.708,10.472,10.429,455.982,-5.074,5.189,0.127796,-0.0136617,0.0136617,1.19,-0.142064,0.197747,1.64162,-0.106909,0.0801915,,6197.21,-187.388,130.152
Kepler-452 b,Kepler-452,6.0,-2.0,2.0,0.0104,,,0.145418859844768,-0.0178428048889285,0.0205192256222678,384.843,-0.012,0.007,1.046,-0.015,0.019,0.0,,,89.806,-0.049,0.134,2015.0,,,,,,,2455147.985,-0.019,0.015,0.69,-0.45,0.16,,,,265.0,-13.0,15.0,Transit,M-R relationship,<a refstr=JENKINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...56J/abstract target=ref>Jenkins et al. 2015</a>,296.003752,44.2775861,13.54,,12.263,11.919,11.852,551.727,-5.141,5.236,0.21,-0.09,0.09,1.037,-0.047,0.054,1.11,-0.09,0.15,G2,5757.0,-85.0,85.0
Kepler-453 b,Kepler-453,2.49,-0.38,0.38,0.0503413774659409,,,0.553483807654563,-0.00347934695334107,0.00347934695334107,240.503,-0.053,0.053,0.7903,-0.0028,0.0028,0.0359,-0.0088,0.0088,89.4429,-0.0091,0.0091,2015.0,185.1,-3.7,3.7,,,,,,,,,,,,,273.620903204106,-5.29221013789143,5.29221013789143,Transit,Mass,<a refstr=WELSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...26W/abstract target=ref>Welsh et al. 2015</a>,283.2413322,46.3784691,13.672,,12.349,11.97,11.92,442.846,-2.7245,2.7245,0.09,-0.1,0.1,0.944,-0.01,0.01,0.833,-0.011,0.011,,5527.0,-100.0,100.0
Kepler-454 b,Kepler-454,5.25,-1.39,1.41,0.0169903000520655,-0.00440489260609106,0.00440489260609106,0.211437601993551,-0.0115978431473256,0.0115978431473256,10.5737534,-7.8e-06,7.8e-06,0.09528,-0.00091,0.0013,0.32,,,87.9,-0.2,0.2,2015.0,,,,,,,2455008.06758,-0.00077,0.00077,0.9288,-0.0091,0.0091,1.64,-0.41,0.41,916.0,-10.0,10.0,Transit,Mass,<a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>,287.4786474,38.2290751,11.567,,10.357,10.021,9.968,230.869,-1.301,1.316,0.32,-0.08,0.08,1.03,-0.03,0.04,1.066,-0.012,0.012,,5687.0,-49.0,49.0
Kepler-454 c,Kepler-454,5.25,-1.39,1.41,4.51,-0.12,0.12,1.15,,,524.19,-0.2,0.2,1.287,-0.017,0.017,0.0053,,,,,,2015.0,337.4,-17.4,17.4,2454892.0,-26.0,26.0,2457151.87,-0.69,0.69,,,,111.58,-0.55,0.55,249.577744159033,-3.05197585807894,3.05197585807894,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,287.4786474,38.2290751,11.567,,10.357,10.021,9.968,230.869,-1.301,1.316,0.32,-0.08,0.08,1.03,-0.03,0.04,1.066,-0.012,0.012,,5687.0,-49.0,49.0
Kepler-454 d,Kepler-454,5.25,-1.39,1.41,2.31,-0.16,0.27,1.19,,,4073.0,-186.0,399.0,5.1,-0.19,0.34,0.089,-0.027,0.036,,,,2023.0,117.0,-21.0,25.0,,,,2458433.0,-26.0,26.0,,,,28.4,-1.3,2.4,125.374738549515,-3.50354293632073,3.50354293632073,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,287.4786474,38.2290751,11.567,,10.357,10.021,9.968,230.869,-1.301,1.316,0.32,-0.08,0.08,1.03,-0.03,0.04,1.066,-0.012,0.012,,5687.0,-49.0,49.0
Kepler-458 c,KIC 9663113,2.14,-0.19,0.21,0.0516,,,0.374698902667499,-0.0356856097778571,0.0562048354001249,20.74028413,-3.35e-05,3.35e-05,0.17012,-0.00111,0.00111,0.0,,,88.27,,,2016.0,,,,,,,2454975.79944,-0.00128,0.00128,0.7495,-0.1,0.1,,,,798.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,297.0454037,46.3286653,14.027,,12.823,12.546,12.502,1594.74,-44.335,44.335,0.143551,-0.027342,0.027342,1.15,,,2.21562,,,,6117.21,-28.3088,28.3088
Kepler-46 b,Kepler-46,9.7,-3.5,3.7,6.0,,,0.808,-0.043,0.042,33.60134,-0.0002,0.00021,0.1968,-0.0028,0.0029,0.01,-0.01,0.01,89.038,-0.067,0.075,2012.0,264.2,-8.9,8.2,,,,2455053.2826,-0.0014,0.0013,0.757,-0.027,0.022,,,,543.0,-16.0,16.0,Transit,Mass,<a refstr=NESVORNY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Sci...336.1133N/abstract target=ref> Nesvorn&yacute; et al. 2012 </a>,289.2687388,42.6041819,15.312,,13.814,13.436,13.347,777.06,-16.493,17.209,0.41,-0.1,0.1,0.902,-0.038,0.04,0.938,-0.039,0.038,,5155.0,-105.0,105.0
Kepler-46 c,Kepler-46,9.7,-3.5,3.7,0.376,-0.019,0.021,1.21,,,57.011,-0.061,0.051,0.2799,-0.004,0.0041,0.0146,-0.0036,0.0034,87.4,-1.0,1.6,2012.0,330.0,-9.2,11.6,,,,,,,1.483,-0.322,0.418,,,,455.0,-13.0,14.0,Transit Timing Variations,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,289.2687388,42.6041819,15.312,,13.814,13.436,13.347,777.06,-16.493,17.209,0.41,-0.1,0.1,0.902,-0.038,0.04,0.938,-0.039,0.038,,5155.0,-105.0,105.0
Kepler-46 d,Kepler-46,2.34,-1.64,3.15,0.0105,,,0.146,-0.082,0.082,6.766589,-2.2e-05,2.2e-05,0.067,,,0.0,,,88.51,,,2014.0,,,,,,,2454971.05891,-0.00192,0.00192,0.24,-0.22,0.22,,,,845.0,,,Transit,M-R relationship,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,289.2687388,42.6041819,15.312,,13.814,13.436,13.347,777.06,-16.493,17.209,0.17,-0.04,0.04,0.883,-0.025,0.02,0.79,-0.441,0.441,,5309.0,-200.0,200.0
Kepler-460 c,KIC 5437945,3.16,-1.29,1.06,0.0821,,,0.492461414934428,-0.0651262378445892,0.18467303060041,220.1303357,-0.0006389,0.0006389,0.75318,-0.00591,0.00591,0.0,,,89.99,,,2016.0,,,,,,,2455078.98586,-0.0023,0.0023,0.0468,-0.0468,0.2134,,,,389.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,288.4749028,40.6512848,13.834,,12.667,12.43,12.367,1274.01,-27.92,27.92,0.06,-0.136,0.141,1.17,-0.086,0.155,1.26,-0.17,0.487,,6146.0,-114.046,82.655
Kepler-461 b,Kepler-461,2.51,-0.991,1.36,0.0226,,,0.230172183067178,-0.00535284146667856,0.00624498171112499,8.313783059,-7.661e-06,7.661e-06,0.07895,-0.00072,0.00072,0.0,,,89.99,,,2016.0,,,,,,,2455008.991576,-0.000754,0.000754,0.75,-0.16,0.16,,,,886.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,292.2490563,46.1647909,13.457,,12.253,11.969,11.917,692.158,-6.535,6.657,0.04,-0.092,0.089,0.98,-0.029,0.023,0.91,-0.02,0.021,,5634.0,-45.6,43.202
Kepler-462 b,Kepler-462,0.5,-0.46,0.46,0.169587515338388,-0.0748827989805871,0.329106755183589,0.267642073333928,-0.00892140244446427,0.0178428048889285,84.6866,-0.001,0.0007,0.4172,,,0.042,-0.008,0.046,89.34,-0.05,0.05,2016.0,51.9,-11.3,7.1,,,,2454983.57283,-0.00161245,0.00161245,-0.31,-0.06,0.57,,,,611.0,,,Transit,Mass,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,299.8211502,43.8142793,11.632,,10.983,10.876,10.851,596.625,-10.484,10.858,0.05,-0.11,0.11,1.59,-0.08,0.08,1.57,-0.06,0.08,,7500.0,-300.0,300.0
Kepler-462 c,Kepler-462,0.5,-0.46,0.46,0.0188780165497278,-0.0154170468489444,0.0339804297895101,0.356856097778571,-0.0178428048889285,0.0178428048889285,207.62,-0.01,0.03,0.7584,,,0.11,-0.02,0.05,89.63,,,2018.0,14.9,-3.2,3.2,,,,2455122.88311,-0.00204,0.00204,0.89,-0.008,0.011,,,,453.0,,,Transit,Mass,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,299.8211502,43.8142793,11.632,,10.983,10.876,10.851,596.625,-10.484,10.858,0.05,-0.11,0.11,1.59,-0.08,0.08,1.57,-0.06,0.08,,7500.0,-300.0,300.0
Kepler-463 b,Kepler-463,7.41,-4.88,4.28,0.03,,,0.27210277455616,-0.0267642073333928,0.0383620305111964,8.981016833,-3.162e-06,3.162e-06,0.07925,-0.00022,0.00022,0.0,,,89.85,,,2016.0,,,,,,,2454969.649263,-0.000292,0.000292,0.097,-0.097,0.242,,,,880.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,298.9368228,44.8578644,12.999,,11.65,11.232,11.209,394.804,-3.47,3.53,-0.28,-0.116,0.124,0.87,-0.053,0.054,0.9,-0.083,0.127,,5661.0,-99.177,105.048
Kepler-464 b,Kepler-464,4.9,-0.78,1.4,0.0343,,,0.294406280667321,-0.0115978231778036,0.0142742439111428,7.256965224,-5.766e-06,5.766e-06,0.07931,-0.00072,0.00072,0.0,,,85.51,,,2016.0,,,,,,,2454967.023293,-0.000655,0.000655,0.831,-0.1,0.1,,,,1163.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,294.8351052,48.9823204,12.75,,11.652,11.363,11.338,667.604,-9.451,9.721,0.19,-0.071,0.074,1.21,-0.079,0.067,1.59,-0.063,0.072,,5933.0,-54.447,67.869
Kepler-465 b,Kepler-465,2.19,-0.678,0.757,0.0283,,,0.263181372111696,-0.0142742439111428,0.0223035061111607,9.940672466,-6.545e-06,6.545e-06,0.09195,-0.00085,0.00085,0.0,,,89.94,,,2016.0,,,,,,,2454968.215073,-0.000544,0.000544,0.754,-0.1,0.1,,,,996.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,284.5557853,46.0638865,12.651,,11.735,11.516,11.456,553.077,-6.827,6.997,0.09,-0.082,0.082,1.23,-0.034,0.039,1.29,-0.071,0.107,,6310.0,-60.375,63.384
Kepler-466 b,Kepler-466,3.47,-1.73,1.87,0.0267,,,0.254259969667232,-0.0151663841555893,0.0196270853778214,51.07926307,-6.345e-05,6.345e-05,0.26769,-0.00272,0.00272,0.0,,,89.98,,,2016.0,,,,,,,2455018.180649,-0.000987,0.000987,0.615,-0.1,0.1,,,,503.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,295.6486585,48.4955191,12.799,,11.698,11.402,11.367,530.122,,,-0.01,-0.091,0.092,1.04,-0.039,0.039,1.05,-0.061,0.08,,5927.0,-68.52,77.35
Kepler-466 c,Kepler-466,3.47,-1.73,1.87,0.0066,,,0.111517530555803,-0.00624498171112499,0.00892140244446427,3.709213846,-6.325e-06,6.325e-06,0.04658,-0.00048,0.00048,0.0,,,89.73,,,2016.0,,,,,,,2454966.98373,-0.00144,0.00144,0.595,-0.1,0.1,,,,1206.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,295.6486585,48.4955191,12.799,,11.698,11.402,11.367,530.122,,,-0.01,-0.091,0.092,1.04,-0.039,0.039,1.05,-0.061,0.08,,5927.0,-68.52,77.35
Kepler-467 b,Kepler-467,8.13,-1.0,1.1,0.0179,,,0.200731555000446,-0.00713712195557142,0.0267642073333928,24.99324193,-6.498e-05,6.498e-05,0.16848,-0.00151,0.00151,0.0,,,88.37,,,2016.0,,,,,,,2454971.68238,-0.00212,0.00212,0.762,-0.1,0.1,,,,712.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,287.3629145,38.6497341,12.428,,11.274,10.961,10.897,466.265,-5.002,5.109,0.06,-0.049,0.072,1.05,-0.029,0.033,1.37,-0.033,0.037,,5809.0,-60.247,68.69
Kepler-468 b,Kepler-468,2.0,-0.725,1.29,,,,1.19011508609153,-0.0258720670889464,0.0285484878222857,38.478757067,-4.851e-06,4.851e-06,0.2213,,,0.0,,,90.0,,,2016.0,,,,,,,2454984.853006,-0.000101,0.000101,0.0154,-0.0154,0.0192,,,,484.0,,,Transit,Msini,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,288.9022829,49.3704079,13.852,,12.467,12.115,12.029,442.871,-2.999,2.999,0.1,-0.084,0.086,0.96,-0.025,0.023,0.87,-0.019,0.021,,5498.0,-68.06,60.914
Kepler-471 b,Kepler-471,1.58,-0.346,0.65,,,,1.33464180569185,-0.264073512356142,0.483540012489963,5.014234575,-5.94e-07,5.94e-07,0.0626,,,0.0,,,89.58,,,2016.0,,,,,,,2454966.1742579,-9.65e-05,9.65e-05,0.0124,-0.0124,0.0341,,,,1308.0,,,Transit,Msini,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,299.0975167,43.4975851,13.767,,12.804,12.583,12.562,1249.41,-23.18,24.04,0.07,-0.156,0.144,1.49,-0.182,0.222,1.8,-0.356,0.652,,6733.0,-288.802,288.743
Kepler-472 b,Kepler-472,2.69,-1.14,1.94,0.0329,,,0.28726915871175,-0.0249799268445,0.0115978231778036,4.176255514,-1.844e-06,1.844e-06,0.04823,-0.00034,0.00034,0.0,,,83.75,,,2016.0,,,,,,,2454966.090341,-0.000361,0.000361,0.596,-0.1,0.1,,,,876.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,296.5245187,39.2498503,13.898,,12.063,11.565,11.461,306.602,-1.906,1.906,0.16,-0.098,0.093,0.85,-0.029,0.025,0.78,-0.015,0.016,,4996.0,-84.629,82.757
Kepler-473 b,Kepler-473,6.92,-2.0,1.6,0.0492,,,0.363993219734142,-0.0597733963779106,0.0704790793112677,14.55731705,-1.399e-05,1.399e-05,0.12048,-0.00079,0.00079,0.0,,,89.86,,,2016.0,,,,,,,2454978.094662,-0.000763,0.000763,0.07,-0.1,0.1,,,,879.0,,,Transit,M-R relationship,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,286.6300796,38.9455907,13.548,,12.121,11.795,11.731,905.937,-12.017,12.339,0.12,-0.084,0.093,1.06,-0.055,0.073,1.34,-0.22,0.26,,5816.0,-91.941,74.229
