name,star_name,star_age,star_age_error_min,star_age_error_max,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,detection_type,mass_measurement_type,radius_measurement_type,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max
IRAS 04125+2902 b,IRAS 04125+2902,0.0033,-0.0005,0.0006,0.254,,,0.958,-0.075,0.077,8.834978,-2.8e-05,2.8e-05,0.077,-0.01,0.0069,,,,88.3,-1.6,1.2,2024.0,,,,,,,2458821.8251,-0.0033,0.0033,0.34,-0.23,0.24,,,,854.0,-32.0,59.0,Transit,M-R relationship,<a refstr=BARBER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024Natur.635..574B/abstract target=ref>Barber et al. 2024</a>,63.9283394,29.166542,15.642,,10.709,9.756,9.376,159.244,-1.675,1.711,,,,0.7,-0.04,0.04,1.45,-0.1,0.1,,4080.0,-95.0,95.0
K2-100 b,K2-100,0.75,-0.007,0.004,0.0685904705805608,-0.0195073815412604,0.0195073815412604,0.346151010858641,-0.0142742684890161,0.0142742684890161,1.6739035,-4e-07,4e-07,0.0301,-0.0014,0.0014,0.0,,,81.27,-0.37,0.37,2016.0,0.0,0.0,0.0,,,,2457140.71941,-0.00027,0.00027,0.791,-0.014,0.014,10.6,-3.0,3.0,1841.0,-41.0,41.0,Transit,Mass,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,129.6010863,20.1060074,10.651,,9.463,9.242,9.182,188.959,-2.41,2.471,0.22,-0.09,0.09,1.15,-0.05,0.05,1.24,-0.05,0.05,G0 V,5945.0,-110.0,110.0
K2-101 b,K2-101,0.79,-0.03,0.03,0.0147,,,0.178428356112702,-0.00624499246394456,0.0124899849278891,14.6762429,-2.03e-05,2.01e-05,0.1124,-0.0239,0.0095,0.1,-0.08,0.18,89.26,-0.07,0.07,2016.0,0.0,-118.0,152.0,,,,2457152.6849877,-0.0011677,0.0011205,0.41,-0.28,0.29,,,,618.0,-25.0,9.0,Transit,M-R relationship,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,130.3439097,18.9338205,12.892,,11.162,10.678,10.536,188.33,-2.082,2.128,0.07,-0.07,0.07,0.82,-0.03,0.02,0.76,-0.01,0.01,K3,4927.0,-46.0,47.0
K2-102 b,K2-102,0.79,-0.03,0.03,0.00705,,,0.115978231778036,-0.00892140244446427,0.00892140244446427,9.915615,-0.001195,0.001209,,,,0.1,-0.07,0.16,89.0,-0.6,0.6,2016.0,-1.0,-132.0,136.0,,,,2457139.65518,-0.00552,0.00552,0.43,-0.27,0.24,,,,,,,Transit,M-R relationship,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,130.0558953,19.7787519,13.083,,11.282,10.739,10.64,188.175,-2.022,2.065,0.14,-0.04,0.04,0.77,-0.06,0.06,0.71,-0.03,0.03,K5,4695.0,-50.0,50.0
K2-104 b,K2-104,0.79,-0.03,0.03,0.0121,,,0.159693378720868,-0.00535285068338105,0.00892141780563508,1.9741954,-2.4e-06,2.4e-06,0.0242,-0.0055,0.0022,0.09,-0.07267,0.167783,88.75,-0.45,0.45,2016.0,0.0,-63.0,155.0,,,,2457140.379979,-0.0009972,0.000978,0.39,-0.27,0.32,,,,798.0,-39.0,9.0,Transit,M-R relationship,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,129.6366594,19.7737202,15.989,,12.878,12.252,12.014,189.289,-3.837,3.996,0.18,-0.1,0.09,0.51,-0.02,0.02,0.48,-0.01,0.01,M2.5e,3712.0,-76.0,54.0
K2-105 b,K2-105,0.6,,,0.0484538186670017,-0.0138439481905719,0.0138439481905719,0.303328205391593,-0.00446070890281754,0.0107057013667621,8.26726,-0.00018,0.00018,0.0796,-0.0007,0.0007,0.0,,,88.62,-0.1,0.1,2017.0,90.0,,,,,,2457147.98867,-0.00079,0.00079,0.42,-0.03,0.03,9.4,-5.8,5.8,805.0,-23.0,22.0,Transit,Mass,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,125.4202985,13.4975122,11.752,,10.541,10.173,10.091,197.989,-1.53,1.555,0.22,-0.047,0.047,0.94,-0.04,0.04,0.905,-0.035,0.035,K1,5373.0,-100.0,100.0
K2-107 b,K2-107,4.25,-1.75,1.75,0.84,-0.08,0.08,1.42564011062539,-0.0490677134445535,0.0490677134445535,3.313959,-2.4e-05,2.4e-05,0.0475,-0.0006,0.0006,0.0,,,82.361048,-0.263242,0.335709,2017.0,,,,,,,2457311.15178,-0.0003,0.0003,0.74,-0.03,0.02,95.5,-1.3,1.3,1649.0,-39.0,39.0,Transit,Mass,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,284.985355,-22.2934206,13.012,,11.564,11.257,11.21,685.2,-19.364,20.502,0.14,-0.06,0.06,1.3,-0.05,0.05,1.81,-0.06,0.06,F9 IV,6061.0,-96.0,96.0
K2-108 b,K2-108,7.8,-1.5,1.5,0.186892363842306,-0.0138438788031338,0.0138438788031338,0.475510750289946,-0.018734945133375,0.018734945133375,4.733999,-0.000227,0.000221,0.0581,-0.0009,0.0009,0.18,-0.042,0.042,86.13513,-3.999993,2.726937,2017.0,,,,,,,2457145.09609,-0.00172,0.00172,0.33,-0.23,0.27,21.3,-1.4,1.4,1360.0,-29.0,29.0,Transit,Mass,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,123.3818484,16.419516,12.339,,10.986,10.652,10.561,477.295,-9.692,10.094,0.36,-0.05,0.05,1.17,-0.06,0.06,1.76,-0.04,0.04,,5599.0,-87.0,87.0
K2-110 b,K2-110,8.0,-3.0,3.0,0.0500269945977485,-0.00849515002603276,0.00849515002603276,0.231243149522061,-0.00865377527146603,0.00874298944952238,13.86375,-0.00026,0.00026,0.10207,-0.00083,0.00083,0.13,,,89.35,-0.24,0.41,2017.0,90.0,-64.0,180.0,,,,2457275.32992,-0.00061,0.00061,0.34,-0.22,0.14,5.25,-0.89,0.89,638.0,-11.0,11.0,Transit,Mass,<a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>,207.3497402,-12.2849182,11.985,,10.184,9.641,9.607,116.474,-0.427,0.431,-0.34,-0.03,0.03,0.738,-0.018,0.018,0.713,-0.02,0.02,K3 V,5010.0,-50.0,50.0
K2-111 b,K2-111,12.3,-0.7,0.7,0.0168329824589908,-0.00217098278443059,0.00213951926581566,0.163886445089516,-0.00633420664200091,0.00678027753228266,5.3518963,-1.2e-05,8.9e-06,0.0565,-0.00045,0.00044,0.134,-0.071,0.093,86.34,-0.22,0.24,2017.0,-69.3,-27.5,73.9,,,,2459519.1348,-0.0054,0.0038,0.6022,-0.0795,0.0933,2.23,-0.28,0.28,1293.0,-18.0,18.0,Transit,Mass,<a refstr=PALETHORPE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..532P/abstract target=ref>Palethorpe et al. 2026</a>,59.8903081,21.2985263,11.13,,9.768,9.477,9.377,200.394,-2.69,2.763,-0.46,-0.05,0.05,0.84,-0.02,0.02,1.25,-0.02,0.02,G2,5775.0,-60.0,60.0
