name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-149 Ad,Kepler-149 A,6.31,4.0,4.53,Confirmed,,,,,,,0.3818,0.0294,0.045,160.0191598,0.0005208,0.0005208,0.5642,,,0.0,,,89.64,,,,2014,2025-02-25,,,,,,,2455084.28348,0.00324,0.00324,,,,,,,,,,0.852,0.587,0.042,,,,,,,306.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"WISE J190324.86+382302.7 d, KOI-401 d, KOI-401.02, K00401.02, KIC 3217264 d, 2MASS J19032487+3823028 d",,285.853667,38.384119,,,12.694,12.274,12.184,571.034,5.715,5.715,0.38,0.03,0.03,0.93,,,1.0,,,G7V,5380.49,32.0,32.0,,,"KIC 3217264, WISE J190324.86+382302.7, KOI-401, 2MASS J19032487+3823028"
Kepler-1490 b,Kepler-1490,4.57,-2.88,5.09,Confirmed,,,,,,,0.271,0.056,0.033,92.4362973,0.0009042,0.0009042,,,,,,,,,,,2016,2021-02-05,,,,,,,2454996.5883,0.00916,0.00916,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19424645+4236342 b, K03407.01, KIC 7131760 b, KOI-3407 b, KOI-3407.01, WISE J194246.44+423634.0 b",,295.693573,42.609512,,,14.092,13.671,13.616,968.0,,,-0.08,0.179,0.156,0.9,0.06,0.07,0.87,0.07,0.11,,5515.0,190.47,193.53,,,"2MASS J19424645+4236342, KIC 7131760, KOI-3407, WISE J194246.44+423634.0"
Kepler-1491 b,Kepler-1491,4.57,2.76,3.71,Confirmed,,,,,,,0.186,0.04,0.04,16.5860329,0.0001924,0.0001924,0.127,,,0.0,,,89.47,,,,2016,2025-11-03,,,,,,,2454966.2787,0.0103,0.0103,,,,,,,,,,0.167,0.167,0.29,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KIC 9285265 b, WISE J193431.14+454426.3 b, KOI-3410 bb, KOI-3410.01b, TIC 270617233 b, 2MASS J19343114+4544263 bb",,293.629756,45.740651,15.8,,14.323,13.995,13.949,2065.59,118.58,118.58,-0.051,0.0077,0.0077,0.98,,,1.628,,,G5IV,5548.33,159.615,159.615,,,"KIC 9285265, WISE J193431.14+454426.3, KOI-3410, 2MASS J19343114+4544263"
Kepler-1491 c,Kepler-1491,4.57,2.76,3.71,Confirmed,,,,,,,0.27889,,,61.569765,0.0018,0.0018,0.3045,,,0.0,,,89.35,,,,2015,2025-11-03,,,,,,,,,,2455015.02,2454832.98,2454833.02,,,,,,,0.486,0.409,0.074,,,,,,,530.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI-3410 c, KOI-3410.02",,293.629756,45.740651,15.8,,14.323,13.995,13.949,2065.59,118.58,118.58,-0.051,0.0077,0.0077,0.98,,,1.628,,,G5IV,5548.33,159.615,159.615,,,"KIC 9285265, WISE J193431.14+454426.3, KOI-3410, 2MASS J19343114+4544263"
Kepler-1492 b,Kepler-1492,2.82,-1.32,5.83,Confirmed,,,,,,,0.133,0.014,0.025,16.75255007,6.46e-05,6.46e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454964.59518,0.00346,0.00346,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19142330+4102111 b, K03412.01, KIC 5780930 b, KOI-3412 b, KOI-3412.01, WISE J191423.29+410210.9 b",,288.597097,41.03642,,,12.804,12.26,12.158,371.0,,,0.06,0.179,0.148,0.77,0.04,0.03,0.72,0.03,0.02,,4712.0,72.63,54.27,,,"2MASS J19142330+4102111, KIC 5780930, KOI-3412, WISE J191423.29+410210.9"
Kepler-1493 Ab,Kepler-1493 A,6.46,-1.84,1.4,Confirmed,,,,,,,0.126,0.021,0.024,15.0217983,0.0001075,0.0001075,,,,,,,,,,,2016,2025-02-26,,,,,,,2454976.70194,0.00666,0.00666,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19141179+3833548 b, K03415.01, KIC 3433668 b, KOI-3415 b, KOI-3415.01, WISE J191411.80+383354.7 b",,288.549148,38.565232,13.7,,11.925,11.6,11.53,572.0,,,0.06,0.071,0.094,1.06,0.05,0.06,1.29,0.2,0.24,G1IV-V,5863.0,82.85,78.69,,,"2MASS J19141179+3833548, KIC 3433668, KOI-3415, WISE J191411.80+383354.7"
Kepler-1494 b,Kepler-1494,4.37,-2.67,4.26,Confirmed,,,,,,,0.274,0.051,0.041,91.080482,0.001769,0.001769,,,,,,,,,,,2016,2021-02-05,,,,,,,2455046.7586,0.0163,0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18503777+4309450 b, K03417.01, KIC 7503885 b, KOI-3417 b, KOI-3417.01, WISE J185037.77+430945.0 b",,282.657401,43.162518,,,14.01,13.7,13.536,1059.0,,,0.01,0.182,0.15,0.96,0.06,0.05,0.94,0.07,0.13,,5659.0,107.31,86.94,,,"2MASS J18503777+4309450, KIC 7503885, KOI-3417, WISE J185037.77+430945.0"
Kepler-1495 b,Kepler-1495,4.17,-2.44,2.83,Confirmed,,,,,,,0.262,0.029,0.064,85.273256,0.001954,0.001954,,,,,,,,,,,2016,2021-02-05,,,,,,,2455015.3682,0.0204,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19043138+3846466 b, K03418.01, KIC 3629330 b, KOI-3418 b, KOI-3418.01",,286.130757,38.779631,,,14.176,13.833,13.845,1307.0,,,0.06,0.146,0.133,1.03,0.06,0.06,1.04,0.1,0.25,,5831.0,139.38,90.97,,,"2MASS J19043138+3846466, KIC 3629330, KOI-3418"
Kepler-1496 b,Kepler-1496,2.95,-1.19,1.29,Confirmed,,,,,,,0.198,0.032,0.081,64.6588017,0.00078,0.00078,,,,,,,,,,,2016,2021-02-05,,,,,,,2455003.17832,0.00909,0.00909,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19355374+4521025 b, K03428.01, KIC 9027909 b, KOI-3428 b, KOI-3428.01, WISE J193553.73+452102.6 b",,293.973936,45.350704,,,13.611,13.339,13.225,1293.0,,,0.05,0.152,0.128,1.18,0.11,0.17,1.27,0.2,0.52,,6182.0,206.6,140.35,,,"2MASS J19355374+4521025, KIC 9027909, KOI-3428, WISE J193553.73+452102.6"
Kepler-1497 b,Kepler-1497,4.27,-2.62,4.09,Confirmed,,,,,,,0.148,0.014,0.026,8.74199772,8.621e-05,8.621e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454968.4222,0.00869,0.00869,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19444707+4538035 b, K03429.02, KIC 9230021 b, KOI-3429 b, KOI-3429.02, WISE J194447.07+453803.5 b",,296.19614,45.634331,,,14.134,13.756,13.699,1122.0,,,0.01,0.172,0.134,0.96,0.06,0.07,0.95,0.08,0.16,,5675.0,169.0,159.75,,,"2MASS J19444707+4538035, KIC 9230021, KOI-3429, WISE J194447.07+453803.5"
